id,course_information,postgraduate_or_undergraduate,field_of_education,age,gender,citizenship,term_residence,permanent_residence,basis_for_admission,type_of_attendance,mode_of_attendance,country_of_birth,language_spoken_at_home,year_of_arrival_in_usa,entrance_score,equity_data,highest_level_of_education_prior_to_commencement,course_completion_year,course_gpa_earned
79,Global PPM,Undergraduate,Computer Science,20/11/1990,Female,China,China,China,GRE,Part-time,Internal,China,Mandarin,2005,333,Disability,Post-graduate,2012,3.5
80,Global MISM,Postgraduate,Computer Science,22/07/1989,Male,China,China,China,GRE,Part-time,Internal,China,Mandarin,2009,313,,Professional Certification,2014,3.64
81,MSIT,Undergraduate,Computer Science,10/6/1993,Male,China,China,China,GRE,Part-time,Internal,China,Mandarin,2011,337,,Professional Certification,2012,3.58
82,MSIT,Postgraduate,Computer Science,19/07/1980,Female,China,China,China,GRE,Full-time,External,China,Mandarin,2005,322,Women in non-traditional areas,Diploma,2012,3.84
83,MISM,Postgraduate,Computer Science,25/02/1983,Male,China,China,China,GRE,Full-time,External,China,Mandarin,2006,336,Women in non-traditional areas,Post-graduate,2014,3.44
84,Global MISM,Undergraduate,Computer Science,29/06/1997,Female,China,China,China,GRE,Part-time,Internal,China,Mandarin,2010,332,,Professional Certification,2014,3.8
85,MISM,Postgraduate,Computer Science,6/12/1992,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2004,309,,Diploma,2011,3.33
86,Global MISM,Postgraduate,Computer Science,8/8/1985,Female,China,China,China,GRE,Part-time,Internal,China,Mandarin,2010,317,,Baccalaureate,2013,3.43
87,Global MISM,Undergraduate,Computer Science,22/12/1986,Male,China,China,China,GRE,Full-time,External,China,Mandarin,2009,333,,Post-graduate,2013,3.22
88,PPM,Undergraduate,Computer Science,9/3/1989,Female,China,China,China,GRE,Part-time,Internal,China,Mandarin,2005,332,Women in non-traditional areas,Post-graduate,2010,3.58
89,MISM,Undergraduate,Computer Science,25/05/1994,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2006,313,low-income,Post-graduate,2011,3.45
90,Global MISM,Undergraduate,Computer Science,6/11/1987,Female,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2007,307,,Diploma,2013,3.63
91,PPM,Undergraduate,Computer Science,12/11/1984,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2005,339,,Baccalaureate,2010,3.71
92,PPM,Undergraduate,Computer Science,2/1/1992,Female,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2005,332,,Post-graduate,2011,3.94
93,MISM,Undergraduate,Computer Science,1/11/1980,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2006,312,,Professional Certification,2010,3.69
94,MISM,Postgraduate,Computer Science,2/9/1990,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2012,302,,Professional Certification,2011,3.39
95,MSIT,Undergraduate,Computer Science,6/10/1990,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2009,328,,Baccalaureate,2012,3.32
96,Global MISM,Postgraduate,Computer Science,18/10/1992,Female,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2004,323,Women in non-traditional areas,Diploma,2013,3.54
97,MSIT,Postgraduate,Computer Science,12/7/1980,Male,China,China,China,GRE,Part-time,Internal,China,Mandarin,2006,327,,Professional Certification,2013,3.31
98,PPM,Undergraduate,Computer Science,12/8/1980,Male,China,China,China,GRE,Full-time,Internal,China,Mandarin,2010,332,,Professional Certification,2013,3.28
99,MSIT,Undergraduate,Computer Science,27/06/1985,Female,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2004,306,,Baccalaureate,2011,3.42
100,MSIT,Postgraduate,Computer Science,8/2/1984,Male,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2008,306,,Diploma,2010,3.75
101,MSIT,Undergraduate,Computer Science,26/04/1995,Female,China,China,China,GRE,Full-time,Internal,China,Mandarin,2008,322,low-income,Diploma,2011,3.81
102,Global PPM,Postgraduate,Computer Science,28/07/1988,Female,China,China,China,GRE,Part-time,Internal,China,Mandarin,2010,321,,Post-graduate,2014,3.38
103,PPM,Undergraduate,Computer Science,4/11/1982,Female,China,China,China,GRE,Part-time,Internal,China,Mandarin,2009,333,,Professional Certification,2014,4
104,Global PPM,Undergraduate,Computer Science,19/11/1990,Female,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2004,306,,Professional Certification,2013,3.46
105,PPM,Undergraduate,Computer Science,3/4/1982,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2006,330,,Professional Certification,2013,3.6
106,MISM,Postgraduate,Computer Science,28/04/1997,Male,China,China,China,GRE,Part-time,Internal,China,Mandarin,2007,311,Disability,Post-graduate,2012,3.66
107,MSIT,Postgraduate,Computer Science,31/07/1983,Female,China,China,China,GRE,Full-time,External,China,Mandarin,2009,302,,Baccalaureate,2012,3.84
108,Global PPM,Postgraduate,Computer Science,9/6/1988,Female,China,China,China,GRE,Full-time,External,China,Mandarin,2008,323,,Baccalaureate,2013,3.24
109,Global MISM,Postgraduate,Computer Science,8/12/1982,Male,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2007,338,Disability,Post-graduate,2014,3.69
110,MISM,Postgraduate,Computer Science,25/10/1990,Female,China,China,China,GRE,Part-time,Internal,China,Mandarin,2010,307,,Professional Certification,2013,3.36
111,PPM,Postgraduate,Computer Science,12/4/1989,Male,China,China,China,GRE,Full-time,External,China,Mandarin,2010,312,,Diploma,2012,3.84
112,MSIT,Postgraduate,Computer Science,18/12/1983,Male,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2010,333,,Diploma,2013,3.43
113,Global PPM,Undergraduate,Computer Science,24/06/1982,Female,China,China,China,GRE,Part-time,External,China,Mandarin,2006,315,Regional/ Remote,Baccalaureate,2014,3.79
114,MISM,Undergraduate,Computer Science,6/12/1996,Female,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2004,307,,Post-graduate,2014,3.91
115,MSIT,Undergraduate,Computer Science,6/8/1990,Female,China,China,China,GRE,Full-time,External,China,Mandarin,2010,305,,Baccalaureate,2013,3.27
116,MSIT,Undergraduate,Computer Science,27/12/1990,Male,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2006,325,,Professional Certification,2010,3.94
117,MSIT,Postgraduate,Computer Science,16/08/1995,Female,China,China,China,GRE,Part-time,Internal,China,Mandarin,2004,307,Regional/ Remote,Professional Certification,2011,3.3
118,Global PPM,Postgraduate,Computer Science,9/2/1987,Male,China,China,China,GRE,Full-time,External,China,Mandarin,2010,334,,Diploma,2010,3.76
119,PPM,Postgraduate,Computer Science,21/03/1985,Female,China,China,China,GRE,Full-time,Internal,China,Mandarin,2004,333,Regional/ Remote,Diploma,2013,3.79
120,Global PPM,Postgraduate,Computer Science,15/10/1994,Female,China,China,China,GRE,Part-time,External,China,Mandarin,2006,331,,Baccalaureate,2012,3.88
121,MSIT,Postgraduate,Computer Science,10/12/1991,Female,China,China,China,GRE,Full-time,External,China,Mandarin,2008,322,,Post-graduate,2010,3.83
122,MSIT,Undergraduate,Computer Science,27/05/1989,Female,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2006,308,,Diploma,2013,3.76
123,MISM,Postgraduate,Computer Science,9/6/1981,Female,China,China,China,GRE,Full-time,External,China,Mandarin,2012,340,,Baccalaureate,2011,3.52
124,Global PPM,Undergraduate,Computer Science,30/11/1988,Male,China,China,China,GRE,Full-time,Internal,China,Mandarin,2005,335,,Baccalaureate,2011,3.52
125,Global MISM,Undergraduate,Computer Science,12/12/1982,Female,China,China,China,GRE,Full-time,Internal,China,Mandarin,2008,302,Regional/ Remote,Diploma,2014,3.33
126,PPM,Postgraduate,Computer Science,25/02/1980,Female,China,China,China,GRE,Part-time,External,China,Mandarin,2012,330,,Diploma,2013,3.31
127,PPM,Postgraduate,Computer Science,10/5/1983,Female,China,China,China,GRE,Part-time,External,China,Mandarin,2012,335,,Baccalaureate,2013,3.59
128,Global PPM,Postgraduate,Computer Science,20/06/1986,Female,China,China,China,GRE,Full-time,External,China,Mandarin,2005,333,Regional/ Remote,Post-graduate,2011,3.31
129,MSIT,Undergraduate,Computer Science,19/08/1987,Female,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2006,339,,Baccalaureate,2011,3.38
130,MSIT,Undergraduate,Computer Science,1/8/1996,Female,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2005,329,Regional/ Remote,Baccalaureate,2010,3.71
131,MISM,Undergraduate,Computer Science,23/09/1986,Female,China,China,China,GRE,Full-time,Internal,China,Mandarin,2012,329,,Diploma,2014,3.87
132,Global PPM,Postgraduate,Computer Science,2/4/1989,Male,China,China,China,GRE,Part-time,Internal,China,Mandarin,2006,333,Disability,Diploma,2011,3.76
133,Global PPM,Postgraduate,Computer Science,25/12/1991,Female,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2009,315,,Diploma,2014,3.24
134,MISM,Undergraduate,Computer Science,26/10/1980,Female,China,China,China,GRE,Full-time,Internal,China,Mandarin,2007,300,,Diploma,2014,3.67
135,PPM,Undergraduate,Computer Science,19/10/1994,Male,China,China,China,GRE,Part-time,Internal,China,Mandarin,2008,331,Disability,Baccalaureate,2012,3.21
136,MSIT,Postgraduate,Computer Science,23/11/1983,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2007,337,,Diploma,2014,3.37
137,Global MISM,Postgraduate,Computer Science,30/05/1992,Male,China,China,China,GRE,Full-time,External,China,Mandarin,2006,320,,Diploma,2012,3.33
138,Global MISM,Postgraduate,Computer Science,8/10/1995,Female,China,China,China,GRE,Part-time,Internal,China,Mandarin,2009,311,Women in non-traditional areas,Diploma,2011,3.55
139,Global MISM,Postgraduate,Computer Science,10/9/1988,Male,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2007,302,,Baccalaureate,2013,3.78
140,Global MISM,Undergraduate,Computer Science,25/12/1983,Male,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2011,305,,Diploma,2011,3.69
141,PPM,Postgraduate,Computer Science,13/11/1980,Male,China,China,China,GRE,Part-time,Internal,China,Mandarin,2011,327,,Professional Certification,2013,3.29
142,Global MISM,Undergraduate,Computer Science,22/05/1989,Male,China,China,China,GRE,Full-time,Internal,China,Mandarin,2009,309,,Professional Certification,2011,3.55
143,PPM,Undergraduate,Computer Science,29/12/1990,Male,China,China,China,GRE,Full-time,Internal,China,Mandarin,2010,312,,Baccalaureate,2010,3.81
144,Global MISM,Postgraduate,Computer Science,25/10/1997,Female,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2010,338,,Professional Certification,2010,3.83
145,Global MISM,Undergraduate,Computer Science,24/12/1991,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2005,315,,Baccalaureate,2012,3.56
146,PPM,Postgraduate,Computer Science,4/2/1988,Female,China,China,China,GRE,Full-time,External,China,Mandarin,2006,331,Disability,Professional Certification,2011,3.23
147,MSIT,Undergraduate,Computer Science,28/11/1988,Male,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2008,339,,Diploma,2010,3.81
148,MSIT,Postgraduate,Computer Science,4/8/1986,Male,China,China,China,GRE,Part-time,Internal,China,Mandarin,2006,319,Disability,Post-graduate,2014,3.93
149,MISM,Undergraduate,Computer Science,9/3/1997,Male,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2009,327,,Professional Certification,2014,3.63
150,Global MISM,Undergraduate,Computer Science,16/11/1980,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2006,305,,Professional Certification,2012,3.77
151,Global MISM,Postgraduate,Computer Science,4/7/1991,Male,China,China,China,GRE,Part-time,Internal,China,Mandarin,2006,339,,Diploma,2014,3.49
152,PPM,Undergraduate,Computer Science,6/10/1982,Female,China,China,China,GRE,Part-time,Internal,China,Mandarin,2010,312,Disability,Baccalaureate,2012,3.46
153,Global MISM,Undergraduate,Computer Science,27/07/1989,Male,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2006,338,,Post-graduate,2013,3.29
154,MISM,Postgraduate,Computer Science,2/12/1995,Female,China,China,China,GRE,Full-time,Internal,China,Mandarin,2011,314,Women in non-traditional areas,Post-graduate,2011,3.36
155,Global MISM,Undergraduate,Computer Science,27/12/1997,Female,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2009,300,Women in non-traditional areas,Post-graduate,2012,3.77
156,Global MISM,Postgraduate,Computer Science,28/04/1990,Male,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2006,326,,Post-graduate,2014,3.31
157,Global PPM,Undergraduate,Computer Science,20/05/1990,Female,China,China,China,GRE,Part-time,External,China,Mandarin,2007,314,,Post-graduate,2010,3.87
158,MSIT,Postgraduate,Computer Science,4/12/1989,Female,China,China,China,GRE,Full-time,External,China,Mandarin,2010,325,,Professional Certification,2012,3.41
159,Global MISM,Undergraduate,Computer Science,28/05/1984,Female,China,China,China,GRE,Part-time,External,China,Mandarin,2005,326,,Post-graduate,2011,4
160,MSIT,Undergraduate,Computer Science,16/03/1996,Male,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2006,333,Women in non-traditional areas,Professional Certification,2014,3.64
161,PPM,Undergraduate,Computer Science,1/8/1980,Female,China,China,China,GRE,Part-time,External,China,Mandarin,2011,313,,Baccalaureate,2014,3.32
162,MISM,Postgraduate,Computer Science,6/3/1986,Male,China,China,China,GRE,Full-time,External,China,Mandarin,2006,330,,Baccalaureate,2013,3.6
163,Global PPM,Postgraduate,Computer Science,17/05/1991,Female,China,China,China,GRE,Part-time,External,China,Mandarin,2010,313,,Post-graduate,2010,3.61
164,MISM,Undergraduate,Computer Science,27/03/1987,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2007,337,low-income,Diploma,2014,3.38
165,MSIT,Undergraduate,Computer Science,9/6/1987,Male,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2006,313,,Diploma,2011,3.34
166,Global MISM,Postgraduate,Computer Science,16/12/1993,Male,China,China,China,GRE,Part-time,Internal,China,Mandarin,2008,309,Disability,Diploma,2010,3.67
167,MSIT,Undergraduate,Computer Science,10/9/1985,Male,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2012,340,Disability,Diploma,2010,3.91
168,Global MISM,Postgraduate,Computer Science,28/07/1985,Male,China,China,China,GRE,Full-time,Internal,China,Mandarin,2008,306,Disability,Post-graduate,2011,3.78
169,Global PPM,Undergraduate,Computer Science,17/02/1995,Female,China,China,China,GRE,Full-time,External,China,Mandarin,2011,339,,Professional Certification,2010,3.36
170,Global MISM,Undergraduate,Computer Science,28/08/1983,Male,China,China,China,GRE,Full-time,External,China,Mandarin,2004,300,,Professional Certification,2011,3.65
171,PPM,Undergraduate,Computer Science,20/03/1989,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2007,307,Disability,Diploma,2010,3.46
172,MISM,Postgraduate,Computer Science,4/7/1993,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2008,309,Women in non-traditional areas,Diploma,2010,3.78
